Key,Business3_RAW-0000-Customer,
English_US,Приветствую.,
Description,,
French,Salut.,
Italian,Ehilà.,
German,Hallo.,
Spanish_Spain,Hola.,
Spanish_LATAM,Hola.,
Korean,안녕하세요.,
Russian,Hullo.,
Japanese,どーも。,
Portuguese_Brazil,Oi.,
Chinese_Simplified,哈啰。,
Chinese_Traditional,哈囉。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business3_RAW-0001-Alta,
English_US,"Погодите, вы... {{Ларри}}? Или, эм... {{Джерри}}? Кто из них вы??",
Description,,
French,"Attends, tu es... {{Larry}} ? Ou, euh… {{Jerry}} ? Tu es lequel ??",
Italian,"Aspetta, sei... {{Larry}}? Oppure... {{Jerry}}? Quale dei due?",
German,"Warte, bis du … {{Larry}} Oder, ähm … {{Jerry}}? Welcher bist du?",
Spanish_Spain,"Un momento, ¿eres... {{Larry}}? ¿O, eh... {{Jerry}}? ¿Quién eres tú?",
Spanish_LATAM,"Un momento... ¿Eres... {{Larry}}? ¿O, eh... {{Jerry}}? ¿Quién eres tú?",
Korean,"잠깐, 손님은... {{Larry}}? 아니면... {{Jerry}}인가? 둘 중 누구죠??",
Russian,"Wait, are you... {{Larry}}? Or, uh... {{Jerry}}? Which one are you??",
Japanese,あんたは…{{ラリー}}？ それとも…{{ジェリー}}？ どっちだ？,
Portuguese_Brazil,"Espera, você é o... {{Larry}}? Ou, ahm... o {{Jerry}}? Qual é você?",
Chinese_Simplified,等等，你是……{{Larry}}？还是，呃……{{Jerry}}？你到底是哪个？,
Chinese_Traditional,等一下，你是不是……{{Larry}}？或是，呃……{{Jerry}}？你是哪位？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business3_RAW-0002-Customer,
English_US,Меня зовут {{Тэрри}}. Я хотел бы вашей помощи. Я ищу зал заседаний.,
Description,,
French,Je suis {{Terry}}. J'aurais besoin de ton aide. Je cherche la salle de conférence.,
Italian,Il mio nome è {{Terry}}. Ho bisogno del tuo aiuto. Sto cercando la sala riunioni.,
German,Mein Name ist {{Terry}} Ich brauche deine Hilfe. Ich suche den Sitzungssaal.,
Spanish_Spain,Me llamo {{Terry}}. Necesito tu ayuda. Estoy buscando la sala de juntas.,
Spanish_LATAM,Me llamo {{Terry}}. Necesito tu ayuda. Estoy buscando la sala de juntas.,
Korean,제 이름은 {{Terry}}입니다. 좀 도와주셨으면 합니다. 회의실을 찾고 있어요.,
Russian,My name is {{Terry}}. I would like your assistance. I am looking for the boardroom.,
Japanese,僕の名前は{{テリー}}。力を貸してください。役員会議室を探しているんです。,
Portuguese_Brazil,O meu nome é {{Terry}}. Eu gostaria da sua ajuda. Estou procurando pela sala de reuniões.,
Chinese_Simplified,我的名字是{{Terry}}。请帮帮我。我在找会议室。,
Chinese_Traditional,我的名字是{{Terry}}。我需要你的協助。我正在找會議室。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business3_RAW-0003-Choice,
English_US,"Дружище, а кто не ищет.",
Description,,
French,"Comme tout le monde, mon gars.",
Italian,Come tutti d'altronde.,
German,"Kumpel, tun wir das nicht alle?",
Spanish_Spain,"¿Y quién no, amigo?",
Spanish_LATAM,"Quién no, ¿eh?",
Korean,"그래요, 다들 회의실을 찾죠.",
Russian,"Buddy, aren't we all.",
Japanese,まったく、みんな同じだな。,
Portuguese_Brazil,"Amigo, e não estamos todos?",
Chinese_Simplified,伙计，大家都在找会议室。,
Chinese_Traditional,兄弟，我們都在找會議室。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business3_RAW-0004-Choice,
English_US,"Ребята, здесь нет зала заседаний.",
Description,,
French,"Ah, les gars, il n'y a pas de salle de conférence.",
Italian,"Ah, ancora con questa storia? Non c'è nessuna sala riunioni qui.",
German,"Jungs, hier gibt es keinen Sitzungssaal.",
Spanish_Spain,"Chicos, aquí no hay ninguna sala de juntas.",
Spanish_LATAM,"Gente, no hay ninguna sala de juntas aquí.",
Korean,여기 회의실 없다는데 다들 왜 그래요?,
Russian,"Guys, there is no boardroom here.",
Japanese,あんたたち、ここには役員会議室なんてないよ。,
Portuguese_Brazil,"Pessoal, não tem sala de reuniões aqui.",
Chinese_Simplified,大家听我说，这里没有会议室。,
Chinese_Traditional,各位，這裡並沒有會議室。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business3_RAW-0005-Choice,
English_US,МЫ и есть зал заседаний.,
Description,,
French,"La salle de conférence, c'est nous.",
Italian,Siamo noi la sala riunioni.,
German,WIR sind der Sitzungssaal.,
Spanish_Spain,Nosotros somos la sala de juntas.,
Spanish_LATAM,SOMOS la sala de juntas.,
Korean,우리가 있는 곳이 곧 회의실이죠.,
Russian,WE are the boardroom.,
Japanese,“私たち”が役員会議室だ。,
Portuguese_Brazil,NÓS somos a sala de reuniões.,
Chinese_Simplified,我们就是会议室。,
Chinese_Traditional,我們本身就是會議室。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business3_RAW-0006-Terry,
English_US,"Возможно. Среди тех из нас, кто ищет зал заседаний, да, мы все ищем зал заседаний.",
Description,From [0003-Choice],
French,"Sans doute. Je fais partie de ceux qui cherchent la salle de conférence. Oui, on cherche tous la salle de conférence.",
Italian,"Senza dubbio. Tra quelli di noi che cercano la sala riunioni, sì, stiamo tutti cercando la sala riunioni.",
German,"Vielleicht. Unter uns, die nach dem Sitzungssaal suchen, ja, wir suchen alle nach dem Sitzungssaal.",
Spanish_Spain,"Tal vez. Entre los que estamos buscando la sala de juntas, sí, todos estamos buscando la sala de juntas.",
Spanish_LATAM,"Tal vez. Entre quienes estamos buscando la sala de juntas, sí, todos estamos buscando la sala de juntas.",
Korean,맞아요. 회의실을 찾는 사람들은 다들 회의실을 찾고 있을 겁니다.,
Russian,"Perhaps. Amongst those of us who are looking for the boardroom, yes, we are all looking for the boardroom.",
Japanese,そうでしょうね。役員会議室を探している人間は、皆同じ思いを抱いているはずです。,
Portuguese_Brazil,"Talvez. Entre aqueles de nós que estamos procurando a sala de reuniões, sim, estamos todos procurando a sala de reuniões.",
Chinese_Simplified,也许吧。对正在寻找会议室的人而言，是的，我们都在找会议室。,
Chinese_Traditional,或許吧。在尋找會議室的人們之中，沒錯，我們正在尋找會議室。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business3_RAW-0007-Terry,
English_US,"Вы ошибаетесь. Зал заседаний — это место, где я буду представлять свою презентацию.",
Description,From [0004-Choice],
French,Tu fais erreur. La salle de conférence est l'endroit où je vais faire ma présentation.,
Italian,Ti stai sbagliando. La sala riunioni è dove devo tenere la mia presentazione.,
German,"Du irrst dich. Der Sitzungssaal ist da, wo ich meine Präsentation abliefern werde.",
Spanish_Spain,Te equivocas. La sala de juntas es donde haré mi presentación.,
Spanish_LATAM,Te equivocas. La sala de juntas es en donde haré mi presentación.,
Korean,잘못 아셨습니다. 회의실에서 제가 프레젠테이션을 진행할 예정인데요.,
Russian,You are mistaken. The boardroom is where I will be delivering my presentation.,
Japanese,誤解しないで。役員会議室は僕がプレゼンを行う場所です。,
Portuguese_Brazil,Você está enganada. A sala de reuniões fica onde vou fazer a minha apresentação.,
Chinese_Simplified,你弄错了。会议室是我发表演讲的地方。,
Chinese_Traditional,你錯了。我是要在會議室發表報告的。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business3_RAW-0008-Terry,
English_US,"Я не понимаю. Вы говорите, что все люди — это зал заседаний? Или только вы и я?",
Description,From [0005-Choice],
French,Je ne comprends pas. Tu prétends que tout le monde est la salle de conférence ? Ou uniquement toi et moi ?,
Italian,Non capisco. Stai dicendo che tutte le persone sono la sala delle riunioni? O solo io e te?,
